month,database,vendor,searches,full_text_downloads,annual_cost_usd
2026-05,Chemical Abstracts Lite,Techna Publishing,988,312,51000
2026-05,Education Research Index,Hollis Academic,1286,485,9800
2026-05,Global Film Archive,Reelbase,55,5,17500
2026-05,Legal Periodicals Online,Statute & Brief,394,118,14300
2026-05,Nursing & Allied Health Full Text,Hollis Academic,1173,508,23700
2026-05,Art & Architecture Image Bank,Lumen Visual,365,71,19900
2026-06,AgriScholar Complete,Prairie Info Services,1096,472,38500
2026-06,Veterinary Medicine Online,Hollis Academic,612,223,29800
2026-06,Engineering Standards Direct,Techna Publishing,388,112,44200
2026-06,Historical Kansas Newspapers,Plains Digital Archive,267,62,12600
2026-06,PsycSearch Plus,Meridian Research,835,320,21400
2026-06,Business Source Horizon,Meridian Research,713,243,26900
2026-06,Chemical Abstracts Lite,Techna Publishing,488,128,51000
2026-06,Education Research Index,Hollis Academic,594,233,9800
2026-06,Global Film Archive,Reelbase,21,2,17500
2026-06,Legal Periodicals Online,Statute & Brief,156,45,14300
2026-06,Nursing & Allied Health Full Text,Hollis Academic,621,297,23700
2026-06,Art & Architecture Image Bank,Lumen Visual,119,22,19900
